username, created_at, lng, lat, text
robertsonaaron, Wed Jan 20 18:59:51 +0000 2021, -104.922093, 39.713563, The GOAT Meryl Streep turns down role to play absent 45 in traditional Inauguration Day ceremonial duties.… https://t.co/wFou5CTYYr 
tmj_cob_secure, Wed Jan 20 18:59:51 +0000 2021, -104.709132, 40.423314, At Allied Universal, our vision for the future is to be the most trusted corporate services partner in a world of e… https://t.co/t6aHe37VXO 
Q_1Casinova00, Wed Jan 20 18:59:52 +0000 2021, -71.060963, 42.171127, They had one job Fam, and they couldn’t even gimme my blue cheese. 
KennyMatthews, Wed Jan 20 18:59:52 +0000 2021, -100.076888, 31.168893, @KendrickBlacks1 @illbill03 @Duncanville_Fb 🦍 
kitteehawk57, Wed Jan 20 18:59:52 +0000 2021, -122.330602, 47.614817, @komonews Paper clips &amp; rubber bands 
cholkom, Wed Jan 20 18:59:52 +0000 2021, -75.705580, 41.360923, @WhiteHouse Opposed. 
forgetyourmap, Wed Jan 20 18:59:52 +0000 2021, -77.014398, 38.898603, My A-1s put up with all my shit, I appreciate y'all. 
Im_DivineSoul, Wed Jan 20 18:59:52 +0000 2021, -71.687342, 42.207817, Celebrate with your mom dear @itsSSR #SushantDay 
KishonH22, Wed Jan 20 18:59:52 +0000 2021, -94.559281, 39.100048, saw their name pop up in my suggested widget thing on my home screen, gtg 
cindyscott54, Wed Jan 20 18:59:52 +0000 2021, -81.688226, 28.363856, @TitusNation He can DoorDash a Filet of Fish ftom McDonalds &amp; just stay tucked away. 
telesara, Wed Jan 20 18:59:52 +0000 2021, -77.604684, 41.117936, How it starts. How it’s going. Congratulations @JoeBiden @POTUS #Inauguration2021 #Inauguration #paproud #delproud… https://t.co/ZNYVHw0Gt1 
_ashkayv, Wed Jan 20 18:59:52 +0000 2021, -83.099288, 42.352787, ion like when i call a btc name @rdarrielleee and she don’t answer like i’m one of them. should i block her? 
KurtZierlein, Wed Jan 20 18:59:52 +0000 2021, -118.411907, 34.020789, @Ladysugestiva https://t.co/KV1OpQASXs 
TheCandyShow, Wed Jan 20 18:59:52 +0000 2021, -79.387200, 43.648000, Oh how they cursed Hillary Clinton for her pant suits...and yet today.... @ Toronto, Ontario https://t.co/zzO32Z6dDe 
BigDaveMB, Wed Jan 20 18:59:52 +0000 2021, -84.433106, 33.767195, @MydaC Mine 
SophieSmoak, Wed Jan 20 18:59:52 +0000 2021, -73.831187, 40.670879, 🥰🥰🥰🥰🥰 fuck you @donaldump 
followmy_tweets, Wed Jan 20 18:59:52 +0000 2021, -83.804475, 27.698682, @MCU_Direct @IneededDaMoney we missed everything lol 
TeamOyama, Wed Jan 20 18:59:52 +0000 2021, -117.831390, 33.694939, Team Oyama starting off the year with a Win!! •••@rickysimonufc 👊🏼💥🙌🏽•••#winwinwin #mma  #armtriangle #jiu… https://t.co/aToqd5VLyk 
Hummingbrrrd77, Wed Jan 20 18:59:52 +0000 2021, -120.583402, 44.145437, @Tamara042859 I was good until Sotomayor came out and Kamala stepped up...then it was over 😭❤😂 
anneanne1014, Wed Jan 20 18:59:53 +0000 2021, -79.861034, 35.170499, I really want Olive Garden but I am quarantined 
